activity,country,legal_status,notes,topic
filming police officers,Bangladesh,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Bangladesh,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Bangladesh,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Bangladesh,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Bangladesh,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Bangladesh,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Bangladesh,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Bangladesh,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Bangladesh,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Bangladesh,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
