activity,country,legal_status,notes,topic
filming police officers,Belgium,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Belgium,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Belgium,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Belgium,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Belgium,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Belgium,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Belgium,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Belgium,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Belgium,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Belgium,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
