activity,country,legal_status,notes,topic
filming police officers,Bolivia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Bolivia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Bolivia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Bolivia,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Bolivia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Bolivia,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Bolivia,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Bolivia,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Bolivia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Bolivia,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
