activity,country,legal_status,notes,topic
filming police officers,Bosnia and Herzegovina,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Bosnia and Herzegovina,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Bosnia and Herzegovina,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Bosnia and Herzegovina,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Bosnia and Herzegovina,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Bosnia and Herzegovina,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Bosnia and Herzegovina,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Bosnia and Herzegovina,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Bosnia and Herzegovina,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Bosnia and Herzegovina,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
