activity,country,legal_status,notes,topic
filming police officers,Bulgaria,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Bulgaria,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Bulgaria,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Bulgaria,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Bulgaria,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Bulgaria,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Bulgaria,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Bulgaria,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Bulgaria,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Bulgaria,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
