activity,country,legal_status,notes,topic
filming police officers,Cambodia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Cambodia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Cambodia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Cambodia,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Cambodia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Cambodia,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Cambodia,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Cambodia,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Cambodia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Cambodia,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
