activity,country,legal_status,notes,topic
filming police officers,Colombia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Colombia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Colombia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Colombia,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Colombia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Colombia,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Colombia,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Colombia,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Colombia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Colombia,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
