activity,country,legal_status,notes,topic
filming police officers,Cuba,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Cuba,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Cuba,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Cuba,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Cuba,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Cuba,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Cuba,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Cuba,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Cuba,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Cuba,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
