activity,country,legal_status,notes,topic
filming police officers,Ethiopia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Ethiopia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Ethiopia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Ethiopia,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Ethiopia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Ethiopia,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Ethiopia,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Ethiopia,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Ethiopia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Ethiopia,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
