activity,country,legal_status,notes,topic
filming police officers,Hong Kong,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Hong Kong,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Hong Kong,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Hong Kong,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Hong Kong,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Hong Kong,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Hong Kong,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Hong Kong,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Hong Kong,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Hong Kong,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
