activity,country,legal_status,notes,topic
filming police officers,Iceland,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Iceland,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Iceland,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Iceland,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Iceland,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Iceland,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Iceland,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Iceland,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Iceland,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Iceland,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
