activity,country,legal_status,notes,topic
filming police officers,Indonesia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Indonesia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Indonesia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Indonesia,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Indonesia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Indonesia,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Indonesia,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Indonesia,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Indonesia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Indonesia,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
