activity,country,legal_status,notes,topic
filming police officers,Jordan,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Jordan,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Jordan,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Jordan,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Jordan,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Jordan,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Jordan,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Jordan,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Jordan,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Jordan,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
