activity,country,legal_status,notes,topic
filming police officers,Kazakhstan,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Kazakhstan,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Kazakhstan,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Kazakhstan,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Kazakhstan,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Kazakhstan,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Kazakhstan,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Kazakhstan,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Kazakhstan,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Kazakhstan,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
