activity,country,legal_status,notes,topic
filming police officers,Kuwait,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Kuwait,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Kuwait,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Kuwait,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Kuwait,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Kuwait,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Kuwait,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Kuwait,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Kuwait,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Kuwait,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
