activity,country,legal_status,notes,topic
filming police officers,Laos,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Laos,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Laos,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Laos,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Laos,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Laos,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Laos,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Laos,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Laos,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Laos,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
