activity,country,legal_status,notes,topic
filming police officers,Lithuania,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Lithuania,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Lithuania,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Lithuania,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Lithuania,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Lithuania,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Lithuania,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Lithuania,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Lithuania,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Lithuania,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
