activity,country,legal_status,notes,topic
filming police officers,Malta,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Malta,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Malta,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Malta,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Malta,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Malta,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Malta,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Malta,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Malta,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Malta,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
