activity,country,legal_status,notes,topic
filming police officers,Montenegro,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Montenegro,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Montenegro,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Montenegro,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Montenegro,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Montenegro,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Montenegro,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Montenegro,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Montenegro,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Montenegro,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
