activity,country,legal_status,notes,topic
filming police officers,North Macedonia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,North Macedonia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,North Macedonia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,North Macedonia,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,North Macedonia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,North Macedonia,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,North Macedonia,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,North Macedonia,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,North Macedonia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,North Macedonia,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
