activity,country,legal_status,notes,topic
filming police officers,Paraguay,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Paraguay,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Paraguay,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Paraguay,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Paraguay,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Paraguay,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Paraguay,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Paraguay,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Paraguay,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Paraguay,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
