activity,country,legal_status,notes,topic
filming police officers,Qatar,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Qatar,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Qatar,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Qatar,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Qatar,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Qatar,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Qatar,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Qatar,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Qatar,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Qatar,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
