activity,country,legal_status,notes,topic
filming police officers,Serbia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Serbia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Serbia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Serbia,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Serbia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Serbia,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Serbia,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Serbia,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Serbia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Serbia,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
