activity,country,legal_status,notes,topic
filming police officers,Singapore,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Singapore,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Singapore,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Singapore,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Singapore,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Singapore,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Singapore,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Singapore,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Singapore,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Singapore,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
