activity,country,legal_status,notes,topic
filming police officers,Slovakia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Slovakia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Slovakia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Slovakia,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Slovakia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Slovakia,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Slovakia,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Slovakia,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Slovakia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Slovakia,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
