activity,country,legal_status,notes,topic
filming police officers,Sri Lanka,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Sri Lanka,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Sri Lanka,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Sri Lanka,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Sri Lanka,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Sri Lanka,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Sri Lanka,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Sri Lanka,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Sri Lanka,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Sri Lanka,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
