activity,country,legal_status,notes,topic
filming police officers,Suriname,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Suriname,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Suriname,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Suriname,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Suriname,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Suriname,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Suriname,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Suriname,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Suriname,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Suriname,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
