activity,country,legal_status,notes,topic
filming police officers,Uganda,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Uganda,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Uganda,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Uganda,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Uganda,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Uganda,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Uganda,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Uganda,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Uganda,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Uganda,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
