activity,country,legal_status,notes,topic
filming police officers,Uruguay,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Uruguay,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Uruguay,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Uruguay,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Uruguay,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Uruguay,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Uruguay,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Uruguay,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Uruguay,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Uruguay,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
