activity,country,legal_status,notes,topic
filming police officers,Venezuela,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Venezuela,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Venezuela,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Venezuela,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Venezuela,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Venezuela,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Venezuela,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Venezuela,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Venezuela,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Venezuela,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
