activity,country,legal_status,notes,topic
bring alcohol into a country,Albania,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Albania,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Albania,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Albania,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Albania,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Albania,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Albania,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Albania,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Albania,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Albania,legal,Estimated legal status based on general regulations. Verify locally.,travel
