activity,country,legal_status,notes,topic
bring alcohol into a country,Argentina,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Argentina,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Argentina,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Argentina,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Argentina,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Argentina,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Argentina,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Argentina,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Argentina,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Argentina,legal,Estimated legal status based on general regulations. Verify locally.,travel
