activity,country,legal_status,notes,topic
bring alcohol into a country,Austria,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Austria,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Austria,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Austria,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Austria,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Austria,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Austria,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Austria,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Austria,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Austria,legal,Estimated legal status based on general regulations. Verify locally.,travel
