activity,country,legal_status,notes,topic
bring alcohol into a country,Azerbaijan,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Azerbaijan,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Azerbaijan,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Azerbaijan,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Azerbaijan,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Azerbaijan,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Azerbaijan,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Azerbaijan,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Azerbaijan,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Azerbaijan,legal,Estimated legal status based on general regulations. Verify locally.,travel
