activity,country,legal_status,notes,topic
bring alcohol into a country,Bangladesh,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Bangladesh,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Bangladesh,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Bangladesh,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Bangladesh,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Bangladesh,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Bangladesh,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Bangladesh,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Bangladesh,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Bangladesh,legal,Estimated legal status based on general regulations. Verify locally.,travel
