activity,country,legal_status,notes,topic
bring alcohol into a country,Bosnia and Herzegovina,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Bosnia and Herzegovina,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Bosnia and Herzegovina,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Bosnia and Herzegovina,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Bosnia and Herzegovina,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Bosnia and Herzegovina,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Bosnia and Herzegovina,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Bosnia and Herzegovina,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Bosnia and Herzegovina,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Bosnia and Herzegovina,legal,Estimated legal status based on general regulations. Verify locally.,travel
