activity,country,legal_status,notes,topic
bring alcohol into a country,Brazil,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Brazil,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Brazil,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Brazil,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Brazil,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Brazil,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Brazil,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Brazil,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Brazil,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Brazil,legal,Estimated legal status based on general regulations. Verify locally.,travel
