activity,country,legal_status,notes,topic
bring alcohol into a country,Bulgaria,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Bulgaria,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Bulgaria,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Bulgaria,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Bulgaria,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Bulgaria,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Bulgaria,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Bulgaria,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Bulgaria,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Bulgaria,legal,Estimated legal status based on general regulations. Verify locally.,travel
