activity,country,legal_status,notes,topic
bring alcohol into a country,Chile,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Chile,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Chile,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Chile,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Chile,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Chile,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Chile,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Chile,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Chile,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Chile,legal,Estimated legal status based on general regulations. Verify locally.,travel
