activity,country,legal_status,notes,topic
bring alcohol into a country,Colombia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Colombia,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Colombia,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Colombia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Colombia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Colombia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Colombia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Colombia,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Colombia,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Colombia,legal,Estimated legal status based on general regulations. Verify locally.,travel
