activity,country,legal_status,notes,topic
bring alcohol into a country,Denmark,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Denmark,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Denmark,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Denmark,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Denmark,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Denmark,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Denmark,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Denmark,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Denmark,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Denmark,legal,Estimated legal status based on general regulations. Verify locally.,travel
