activity,country,legal_status,notes,topic
bring alcohol into a country,Dominican Republic,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Dominican Republic,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Dominican Republic,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Dominican Republic,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Dominican Republic,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Dominican Republic,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Dominican Republic,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Dominican Republic,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Dominican Republic,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Dominican Republic,legal,Estimated legal status based on general regulations. Verify locally.,travel
