activity,country,legal_status,notes,topic
bring alcohol into a country,Egypt,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Egypt,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Egypt,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Egypt,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Egypt,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Egypt,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Egypt,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Egypt,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Egypt,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Egypt,legal,Estimated legal status based on general regulations. Verify locally.,travel
