activity,country,legal_status,notes,topic
bring alcohol into a country,Estonia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Estonia,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Estonia,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Estonia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Estonia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Estonia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Estonia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Estonia,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Estonia,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Estonia,legal,Estimated legal status based on general regulations. Verify locally.,travel
