activity,country,legal_status,notes,topic
bring alcohol into a country,Ethiopia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Ethiopia,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Ethiopia,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Ethiopia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Ethiopia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Ethiopia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Ethiopia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Ethiopia,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Ethiopia,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Ethiopia,legal,Estimated legal status based on general regulations. Verify locally.,travel
