activity,country,legal_status,notes,topic
bring alcohol into a country,Finland,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Finland,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Finland,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Finland,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Finland,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Finland,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Finland,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Finland,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Finland,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Finland,legal,Estimated legal status based on general regulations. Verify locally.,travel
