activity,country,legal_status,notes,topic
bring alcohol into a country,Georgia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Georgia,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Georgia,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Georgia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Georgia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Georgia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Georgia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Georgia,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Georgia,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Georgia,legal,Estimated legal status based on general regulations. Verify locally.,travel
