activity,country,legal_status,notes,topic
bring alcohol into a country,Greece,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Greece,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Greece,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Greece,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Greece,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Greece,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Greece,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Greece,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Greece,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Greece,legal,Estimated legal status based on general regulations. Verify locally.,travel
