activity,country,legal_status,notes,topic
bring alcohol into a country,Guyana,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Guyana,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Guyana,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Guyana,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Guyana,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Guyana,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Guyana,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Guyana,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Guyana,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Guyana,legal,Estimated legal status based on general regulations. Verify locally.,travel
