activity,country,legal_status,notes,topic
bring alcohol into a country,Hong Kong,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Hong Kong,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Hong Kong,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Hong Kong,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Hong Kong,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Hong Kong,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Hong Kong,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Hong Kong,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Hong Kong,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Hong Kong,legal,Estimated legal status based on general regulations. Verify locally.,travel
