activity,country,legal_status,notes,topic
bring alcohol into a country,Hungary,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Hungary,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Hungary,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Hungary,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Hungary,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Hungary,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Hungary,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Hungary,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Hungary,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Hungary,legal,Estimated legal status based on general regulations. Verify locally.,travel
