activity,country,legal_status,notes,topic
bring alcohol into a country,Iceland,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Iceland,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Iceland,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Iceland,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Iceland,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Iceland,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Iceland,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Iceland,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Iceland,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Iceland,legal,Estimated legal status based on general regulations. Verify locally.,travel
