activity,country,legal_status,notes,topic
bring alcohol into a country,Indonesia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Indonesia,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Indonesia,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Indonesia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Indonesia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Indonesia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Indonesia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Indonesia,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Indonesia,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Indonesia,legal,Estimated legal status based on general regulations. Verify locally.,travel
