activity,country,legal_status,notes,topic
bring alcohol into a country,Kenya,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Kenya,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Kenya,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Kenya,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Kenya,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Kenya,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Kenya,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Kenya,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Kenya,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Kenya,legal,Estimated legal status based on general regulations. Verify locally.,travel
