activity,country,legal_status,notes,topic
bring alcohol into a country,Kuwait,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Kuwait,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Kuwait,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Kuwait,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Kuwait,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Kuwait,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Kuwait,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Kuwait,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Kuwait,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Kuwait,legal,Estimated legal status based on general regulations. Verify locally.,travel
