activity,country,legal_status,notes,topic
bring alcohol into a country,Laos,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Laos,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Laos,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Laos,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Laos,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Laos,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Laos,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Laos,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Laos,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Laos,legal,Estimated legal status based on general regulations. Verify locally.,travel
