activity,country,legal_status,notes,topic
bring alcohol into a country,Lithuania,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Lithuania,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Lithuania,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Lithuania,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Lithuania,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Lithuania,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Lithuania,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Lithuania,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Lithuania,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Lithuania,legal,Estimated legal status based on general regulations. Verify locally.,travel
