activity,country,legal_status,notes,topic
bring alcohol into a country,Malaysia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Malaysia,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Malaysia,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Malaysia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Malaysia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Malaysia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Malaysia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Malaysia,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Malaysia,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Malaysia,legal,Estimated legal status based on general regulations. Verify locally.,travel
