activity,country,legal_status,notes,topic
bring alcohol into a country,Malta,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Malta,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Malta,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Malta,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Malta,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Malta,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Malta,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Malta,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Malta,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Malta,legal,Estimated legal status based on general regulations. Verify locally.,travel
