activity,country,legal_status,notes,topic
bring alcohol into a country,Mexico,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Mexico,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Mexico,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Mexico,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Mexico,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Mexico,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Mexico,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Mexico,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Mexico,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Mexico,legal,Estimated legal status based on general regulations. Verify locally.,travel
