activity,country,legal_status,notes,topic
bring alcohol into a country,Morocco,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Morocco,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Morocco,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Morocco,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Morocco,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Morocco,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Morocco,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Morocco,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Morocco,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Morocco,legal,Estimated legal status based on general regulations. Verify locally.,travel
