activity,country,legal_status,notes,topic
bring alcohol into a country,Nigeria,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Nigeria,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Nigeria,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Nigeria,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Nigeria,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Nigeria,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Nigeria,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Nigeria,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Nigeria,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Nigeria,legal,Estimated legal status based on general regulations. Verify locally.,travel
