activity,country,legal_status,notes,topic
bring alcohol into a country,Pakistan,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Pakistan,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Pakistan,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Pakistan,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Pakistan,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Pakistan,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Pakistan,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Pakistan,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Pakistan,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Pakistan,legal,Estimated legal status based on general regulations. Verify locally.,travel
