activity,country,legal_status,notes,topic
bring alcohol into a country,Paraguay,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Paraguay,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Paraguay,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Paraguay,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Paraguay,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Paraguay,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Paraguay,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Paraguay,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Paraguay,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Paraguay,legal,Estimated legal status based on general regulations. Verify locally.,travel
